order_id,order_num,location_latitude,location_longitude,location_name,order_weight,from,to
0,0,11.519855,104.934508,HelloWash Laundry & Dry Clean Factory Co.Ltd,0,8:00AM,11:00PM
1,1870,11.552482,104.933399,Tuol Sleng Genocide Museum,12,8:00AM,11:59AM
2,1094,11.544872,104.928413,Independence Monument,7,12:01PM,4:59PM
3,1478,11.550041,104.934402,Royal Palace,28,12:01PM,4:59PM
4,1378,11.573182,104.923245,Exchange Square Mall,5,5:00PM,9:00PM
5,1065,11.589118,104.897911,Western International School,1,5:00PM,9:00PM
6,1164,11.548522,104.931116,Phnom Penh Tower,25,12:01PM,4:59PM
7,1990,11.555217,104.926641,BKK Market,3,8:00AM,11:59AM
8,1698,11.594891,104.900748,Sovanna Shopping Center,25,5:00PM,9:00PM
9,1441,11.571922,104.921837,Old French Quarter,17,5:00PM,9:00PM
10,1207,11.595234,104.899892,Independence School,10,12:01PM,4:59PM
11,1343,11.573832,104.913492,Moscow Market,26,5:00PM,9:00PM
12,1438,11.555217,104.926641,BKK Market,28,8:00AM,11:59AM
13,1761,11.555217,104.926641,BKK Market,5,8:00AM,11:59AM
14,1328,11.560042,104.929001,Riverside,15,8:00AM,11:59AM
15,1261,11.590821,104.89871,TK Avenue Mall,17,5:00PM,9:00PM
16,1724,11.590121,104.8989,Paragon Mall,23,8:00AM,11:59AM
17,1739,11.591938,104.899099,Tuol Kork Cinema,30,12:01PM,4:59PM
18,1617,11.570927,104.918242,Starmart 51,20,8:00AM,11:59AM
19,1800,11.570818,104.91589,Tuol Sangke Market,30,5:00PM,9:00PM
20,1026,11.571527,104.916321,City Mall,24,5:00PM,9:00PM
21,1130,11.557692,104.930453,Olympic Stadium,27,8:00AM,11:59AM
22,1427,11.575012,104.915002,Phnom Penh International University,18,12:01PM,4:59PM
23,1288,11.570421,104.915122,Orussey Market,11,12:01PM,4:59PM
24,1663,11.560042,104.929001,Riverside,17,8:00AM,11:59AM
